2024-02-01 20:02:928 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:135 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (64e1aacbb72607d50ed65a8eebf542de)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:136 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (64e1aacbb72607d50ed65a8eebf542de)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:877 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:545 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:666 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:667 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:939 INFO  HomePage :61 - Clicking on theLive Casino : [[[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (328251ddf355a39554e5ed984b16b553)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:119 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:602 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:713 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (6e465a9794b0db347d1a7fd3a5603c64)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:715 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (6e465a9794b0db347d1a7fd3a5603c64)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:176 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:855 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:950 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:953 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:231 INFO  HomePage :61 - Clicking on theSlingo : [[[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (3f038610a1231e3908c709a4ea8ccfee)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:412 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:71 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:185 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (8d48c9031ee3a265b3a74b65f797d8d7)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:186 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (8d48c9031ee3a265b3a74b65f797d8d7)] -> xpath: //label[normalize-space()='Allow all cookies']]
